dirname,displayName
buenos_aires/avellaneda,"Avellaneda,Buenos Aires"
buenos_aires/ensenada,"Ensenada,Buenos Aires"
buenos_aires/bahia_blanca/bahia,"Bahía Blanca,Bahía Blanca,Buenos Aires"
buenos_aires/la_matanza,"La Matanza,Buenos Aires"
buenos_aires/almirante_brown,"Almirante Brown,Buenos Aires"
buenos_aires/escobar,"Escobar,Buenos Aires"
buenos_aires/merlo,"Merlo,Buenos Aires"
buenos_aires/bahia_blanca/inge,"Ingeniero White,Bahía Blanca,Buenos Aires"
buenos_aires/san_vicente,"San Vicente,Buenos Aires"
buenos_aires/moreno,"Moreno,Buenos Aires"
buenos_aires/florencio_varela,"Florencio Varela,Buenos Aires"
catamarca/el_bannado,"El Bañado,Catamarca"
catamarca/san_fernando_del_valle_de_catamarca,"San Fernando Del Valle De Catamarca,Catamarca"
catamarca/san_isidro,"San Isidro,Catamarca"
catamarca/santa_maria,"Santa María,Catamarca"
catamarca/sumalao,"Sumalao,Catamarca"
cordoba/colonia_caroya,"Colonia Caroya,Córdoba"
cordoba/cordoba,"Córdoba,Córdoba"
cordoba/dumesnil,"Dumesnil,Córdoba"
cordoba/jesus_maria,"Jesus María,Córdoba"
cordoba/juarezcelman,"Juarez Celman,Córdoba"
cordoba/lacalera,"La Calera,Córdoba"
cordoba/malvinas_arg,"Malvinas Argentinas,Córdoba"
cordoba/mendiolaza,"Mendiolaza,Córdoba"
cordoba/rio_ceballos,"Río Ceballos,Córdoba"
cordoba/rio_cuarto/riocuarto,"Río Cuarto,Río Cuarto,Córdoba"
cordoba/salsipuedes,"Salsipuedes,Córdoba"
cordoba/unquillo,"Unquillo,Córdoba"
cordoba/villa_allende,"Villa Allende,Córdoba"
chaco_-_resistencia/barranqueras,"Barranqueras,Chaco"
chaco_-_resistencia/fontana,"Fontana,Chaco"
chaco_-_resistencia/puerto_vilelas,"Puerto Vilelas,Chaco"
chaco_-_resistencia/resistencia,"Resistencia,Chaco"
chubut_-_rawson/accnorte,"Acc. Norte,Chubut"
chubut_-_rawson/comodoro_rivadavia,"Comodoro Rivadavia,Chubut"
chubut_-_rawson/gral_mosconi,"Gral Mosconi,Chubut"
chubut_-_rawson/rada_tilly,"Rada Tilly,Chubut"
chubut_-_rawson/rawson_rawson,"Rawson,Chubut"
chubut_-_rawson/rawsontrelew,"Trelew,Chubut"
santa_fe/rosario/soldini,"Soldini, Rosario,Santa Fe"
santa_fe/rosario/granbaigorria,"Granadero Baigorria, Rosario,Santa Fe"
santa_fe/santafe,"Santa Fe, Santa Fe"
santa_fe/rosario/rosario,"Rosario, Rosario,Santa Fe"
santa_fe/rosario/fraybeltran,"Fray Beltran, Rosario,Santa Fe"
santa_fe/sjoserincon,"San José Del Rincón, Santa Fe"
santa_fe/recreo,"Recreo,Santa Fe"
santa_fe/rosario/alvear,"Alvear,Rosario, Santa Fe"
santa_fe/villaadelina,"Villa Adelina, Santa Fe"
santa_fe/rosario/capbermudez,"Capitán Bermúdez,Rosario,Santa Fe"
santa_fe/rosario/funes,"Funes ,Rosario,Santa Fe"
santa_fe/rosario/sanlorenzo,"San Lorenzo ,Rosario,Santa Fe"
santa_fe/rosario/aldao,"Aldao,Rosario ,Santa Fe"
santa_fe/santotome,"Santo Tomé ,Santa Fe"
santa_fe/sauceviejo,"Sauce Viejo ,Santa Fe"
santa_fe/rosario/perez,"Perez,Rosario,Santa Fe"
santa_fe/rosario/ptosanmartin,"Puerto San Martín, Rosario, Santa Fe"
santa_fe/rosario/galvez,"Galvez, Rosario, Santa Fe"
santa_fe/rosario/roldan,"Roldan, Rosario, Santa Fe"
entre_rios_-_parana/parana_a,"Paraná,Entre Ríos"
formosa/capital,"Formosa,Formosa"
jujuy/capital,"San Salvador de Jujuy,Jujuy"
la_pampa_-_santa_rosa/santarosa,"Santa Rosa,La Pampa"
la_rioja/capital,"La Rioja,La Rioja"
mendoza/mendoza_capital,"Mendoza,Mendoza"
misiones_-_posadas/posad,"Posadas,Misiones"
san_luis/san_luis,"San Luis, San Luis"
neuquen/cent,"Centenario,Neuquen"
neuquen/neucapi,"Neuquen,Neuquen"
neuquen/plot,"Plottier,Neuquen"
rio_negro_-_viedma/carmendepat,"Carmen de Patagones,Río Negro"
rio_negro_-_viedma/viedma,"Viedma,Río Negro"
salta/all,"Salta(conurbano),Salta"
salta/atoc,"Aeropuerto,Salta"
salta/cerr,"Cerrillos,Salta"
salta/lacie,"lacie,Salta"
salta/lasc,"Las Colinas,Salta"
salta/saltac,"Salta,Salta"
salta/vaq,"Vaqueros,Salta"
salta/vlos,"General Alvarado,Salta"
san_juan/chimbas,"Chimbas,San Juan"
san_juan/pocito,"Pocito,San Juan"
san_juan/rawson,"Rawson,San Juan"
san_juan/rivadavia,"Rivadavia,San Juan"
san_juan/san_juan,"San Juan,San Juan"
san_juan/santa_lucia,"Santa Lucía,San Juan"
stgo_del_estero/el_zanjon,"El Zanjón,Santiago Del Estero"
stgo_del_estero/la_banda,"La Banda,Santiago Del Estero"
stgo_del_estero/maco,"Maco,Santiago Del Estero"
stgo_del_estero/santiago,"Santiago del Estero,Santiago Del Estero"
tucuman/banda_del_rio_sali,"Banda del Río Sali,Tucumán"
