Carpeta Municipio,Urban_built-up_urban_area_90,Suburban_built-up_urban_area_90,Rural_built-up_urban_area_90,Urban_built-up_urban_footprint_90,Suburban_built-up_urban_footprint_90,rural_built-up_urban_footprint_90,Urban_built-up_urban_area_2000,Suburban_built-up_urban_area_2000,Rural_built-up_urban_area_2000,urban_built-up_urban_footprint_2000,Suburban_built-up_urban_footprint_2000,Rural_built-up_urban_footprint_2000,Infill_90_2000,Extension_90_2000,Leapfrog_90_2000
buenos_aires/almirante_brown,3751.0,864.1,26.9,3751.0,864.1,26.9,4756.5,894.4,4.1,4756.5,894.4,4.1,444.3,554.0,14.8
buenos_aires/avellaneda,3963.2,100.1,5.9,3963.2,100.1,5.9,4082.6,103.2,,4082.6,103.2,,70.2,40.2,6.3
buenos_aires/bahia_blanca/bahia,1923.8,1076.8,182.3,1923.8,1076.8,182.3,3236.1,1325.2,151.0,3236.1,1325.2,151.0,691.2,649.6,188.6
buenos_aires/bahia_blanca/bahia_all,2172.6,1432.9,267.8,2172.6,1432.9,267.8,3718.7,1763.9,226.9,3718.7,1763.9,226.9,760.3,850.4,225.5
buenos_aires/bahia_blanca/gr,16.8,133.7,41.2,16.8,133.7,41.2,47.2,185.4,41.9,47.2,185.4,41.9,9.1,67.5,6.1
buenos_aires/bahia_blanca/grun,,24.9,2.4,,24.9,2.4,,51.7,0.0,,51.7,0.0,0.8,22.3,1.2
buenos_aires/bahia_blanca/inge,234.8,194.4,0.7,234.8,194.4,0.7,435.4,124.0,0.0,435.4,124.0,0.0,59.2,64.7,5.6
buenos_aires/bahia_blanca/villab,,0.0,29.2,,0.0,29.2,,29.4,32.9,,29.4,32.9,,16.4,16.7
buenos_aires/bahia_blanca/vspor,,0.9,11.3,,0.9,11.3,,48.8,0.6,,48.8,0.6,,26.6,10.6
buenos_aires/berazategui,2013.2,979.5,67.3,2013.2,979.5,67.3,2833.3,843.2,56.9,2833.3,843.2,56.9,256.1,397.6,19.7
buenos_aires/beriso,912.6,376.4,50.3,912.6,376.4,50.3,1521.5,223.9,65.7,1521.5,223.9,65.7,191.9,272.9,7.1
buenos_aires/canuelas,163.7,147.0,160.3,163.7,147.0,160.3,224.9,217.2,214.5,224.9,217.2,214.5,19.7,131.9,34.0
buenos_aires/ensenada,523.8,391.0,51.5,523.8,391.0,51.5,784.6,475.9,104.5,784.6,475.9,104.5,83.2,215.8,99.7
buenos_aires/escobar,286.6,887.1,125.5,286.6,887.1,125.5,949.1,1129.5,85.3,949.1,1129.5,85.3,94.5,700.6,69.6
buenos_aires/esteban_echeverria,1589.2,772.5,72.9,1589.2,772.5,72.9,2434.2,693.7,65.9,2434.2,693.7,65.9,209.4,520.4,29.3
buenos_aires/ezeiza,223.0,556.0,123.1,223.0,556.0,123.1,650.0,827.8,115.7,650.0,827.8,115.7,69.5,537.9,84.2
buenos_aires/florencio_varela,1390.1,753.0,45.7,1390.1,753.0,45.7,2444.1,753.1,19.5,2444.1,753.1,19.5,339.4,639.6,48.8
buenos_aires/general_rodriguez,200.2,126.6,148.2,200.2,126.6,148.2,281.9,198.1,206.0,281.9,198.1,206.0,21.0,140.2,49.8
buenos_aires/general_san_martin,4211.0,86.7,7.5,4211.0,86.7,7.5,4373.1,71.4,4.5,4373.1,71.4,4.5,108.8,33.4,1.5
buenos_aires/hurlingham,1260.6,173.0,10.2,1260.6,173.0,10.2,1376.4,155.0,9.2,1376.4,155.0,9.2,64.1,32.2,0.3
buenos_aires/ituzaingo,1613.9,261.2,13.7,1613.9,261.2,13.7,1866.8,231.4,8.5,1866.8,231.4,8.5,170.2,44.2,3.5
buenos_aires/jose_c_paz,497.3,368.0,18.4,497.3,368.0,18.4,1188.2,205.4,16.0,1188.2,205.4,16.0,208.7,296.7,20.5
buenos_aires/lanus,4703.9,7.0,0.0,4703.9,7.0,0.0,4756.1,3.1,0.0,4756.1,3.1,0.0,48.2,0.2,
buenos_aires/la_matanza,8755.9,1427.8,91.1,8755.9,1427.8,91.1,10598.3,1403.6,67.2,10598.3,1403.6,67.2,629.2,1084.8,80.3
buenos_aires/la_plata,4831.6,2280.9,366.4,4831.6,2280.9,366.4,7815.8,2525.1,422.5,7815.8,2525.1,422.5,987.5,2142.1,155.0
buenos_aires/lomas_de_zamora,6372.8,246.7,0.9,6372.8,246.7,0.9,6864.2,167.6,0.0,6864.2,167.6,0.0,197.8,210.5,3.2
buenos_aires/malvinas_argentinas,1413.5,597.8,39.4,1413.5,597.8,39.4,2188.2,489.6,12.3,2188.2,489.6,12.3,286.0,337.4,16.0
buenos_aires/marcos_paz,62.3,114.9,99.0,62.3,114.9,99.0,135.7,266.4,102.7,135.7,266.4,102.7,8.9,184.9,35.0
buenos_aires/mar_del_plata,4393.0,1494.9,399.1,4393.0,1494.9,399.1,6414.6,1698.4,510.4,6414.6,1698.4,510.4,662.4,1408.9,265.1
buenos_aires/merlo,2413.7,1030.0,86.0,2413.7,1030.0,86.0,3545.6,1007.5,55.6,3545.6,1007.5,55.6,365.9,656.6,56.5
buenos_aires/moreno,902.6,1337.1,174.1,902.6,1337.1,174.1,1953.5,1436.5,153.5,1953.5,1436.5,153.5,229.5,808.0,92.3
buenos_aires/moron,4557.9,146.0,3.4,4557.9,146.0,3.4,4796.3,136.9,3.1,4796.3,136.9,3.1,184.0,44.9,
buenos_aires/pilar,259.6,690.3,303.1,259.6,690.3,303.1,742.9,1453.1,318.3,742.9,1453.1,318.3,61.8,903.8,295.7
buenos_aires/presidente_peron,131.4,130.4,57.3,131.4,130.4,57.3,321.2,193.9,44.6,321.2,193.9,44.6,39.3,180.6,20.6
buenos_aires/quilmes,5999.9,257.6,21.0,5999.9,257.6,21.0,6512.9,200.3,11.3,6512.9,200.3,11.3,379.9,60.4,5.6
buenos_aires/san_fernando,1388.5,134.0,3.7,1388.5,134.0,3.7,1556.1,112.8,1.0,1556.1,112.8,1.0,106.2,34.5,2.9
buenos_aires/san_isidro,3316.9,348.1,0.1,3316.9,348.1,0.1,3457.3,327.7,0.1,3457.3,327.7,0.1,101.1,18.9,
buenos_aires/san_miguel,2135.6,1083.9,53.0,2135.6,1083.9,53.0,3342.5,731.4,38.7,3342.5,731.4,38.7,346.7,478.0,15.3
buenos_aires/san_vicente,81.2,193.5,141.2,81.2,193.5,141.2,190.5,302.7,195.3,190.5,302.7,195.3,15.4,213.5,43.6
buenos_aires/tigre,2456.8,1185.0,86.4,2456.8,1185.0,86.4,3258.9,1263.3,58.1,3258.9,1263.3,58.1,243.6,573.6,34.8
buenos_aires/tres_de_febrero,3211.1,166.0,1.1,3211.1,166.0,1.1,3289.3,156.7,0.5,3289.3,156.7,0.5,60.8,7.4,
buenos_aires/vicente_lopez,2913.5,30.5,,2913.5,30.5,,2967.4,25.6,,2967.4,25.6,,48.2,0.8,
catamarca/el_banado,,20.1,1.5,,20.1,1.5,,20.1,1.5,,20.1,1.5,,,
catamarca/san_fernando_del_valle_de_catamarca,1391.5,414.6,12.3,1391.5,414.6,12.3,1391.5,414.6,12.3,1391.5,414.6,12.3,,,
catamarca/san_isidro,,49.6,7.6,,49.6,7.6,,49.6,7.6,,49.6,7.6,,,
catamarca/santa_rosa,,2.5,21.2,,2.5,21.2,,2.5,21.2,,2.5,21.2,,,
catamarca/sumalao,,30.1,5.3,,30.1,5.3,,30.1,5.3,,30.1,5.3,,,
catamarca/villa_dolores,,12.5,25.5,,12.5,25.5,,12.5,25.5,,12.5,25.5,,,
chaco_-_resistencia/barranqueras,507.0,410.2,19.7,507.0,410.2,19.7,741.3,405.1,30.6,741.3,405.1,30.6,91.5,113.8,34.8
chaco_-_resistencia/fontana,0.0,192.3,65.3,0.0,192.3,65.3,25.4,276.6,70.3,25.4,276.6,70.3,10.1,74.3,30.3
chaco_-_resistencia/puerto_vilelas,88.0,101.9,16.6,88.0,101.9,16.6,131.1,109.9,13.7,131.1,109.9,13.7,11.9,30.2,6.1
chaco_-_resistencia/resistencia,2330.5,587.3,82.2,2330.5,587.3,82.2,2999.8,567.5,72.5,2999.8,567.5,72.5,318.1,295.4,26.3
chubut_-_rawson/accnorte,,0.2,0.6,,0.2,0.6,0.0,3.2,0.0,0.0,3.2,0.0,,1.5,0.9
chubut_-_rawson/comodoro_rivadavia,630.5,319.2,21.5,630.5,319.2,21.5,1298.5,306.5,24.2,1298.5,306.5,24.2,219.6,368.7,69.7
chubut_-_rawson/gral_mosconi,14.6,100.8,5.7,14.6,100.8,5.7,85.4,97.1,0.6,85.4,97.1,0.6,19.1,42.8,0.1
chubut_-_rawson/rada_tilly,,95.0,8.0,,95.0,8.0,101.3,101.8,16.4,101.3,101.8,16.4,12.7,85.5,18.3
chubut_-_rawson/rawsontrelew,858.5,296.7,25.6,858.5,296.7,25.6,1278.3,218.7,18.4,1278.3,218.7,18.4,164.7,166.5,3.3
chubut_-_rawson/rawson_rawson,192.7,169.3,4.5,192.7,169.3,4.5,387.3,169.1,2.4,387.3,169.1,2.4,39.0,152.3,1.1
corrientes/corrientes_capital,1783.8,871.0,91.0,1783.8,871.0,91.0,3651.0,721.2,76.8,3651.0,721.2,76.8,597.6,1055.6,50.0
corrientes/laguna_brava,,32.7,2.1,,32.7,2.1,1.2,64.0,0.3,1.2,64.0,0.3,3.8,26.5,0.5
cordoba/colonia_caroya,,119.0,11.3,,119.0,11.3,22.4,202.3,15.8,22.4,202.3,15.8,2.9,89.3,18.0
cordoba/cordoba,11804.0,3045.0,328.8,11804.0,3045.0,328.8,15302.0,3321.0,283.2,15302.0,3321.0,283.2,1101.1,2337.3,289.9
cordoba/dumesnil,62.6,97.2,11.9,62.6,97.2,11.9,93.7,158.6,2.3,93.7,158.6,2.3,6.8,73.5,2.5
cordoba/jesus_maria,215.7,95.9,24.2,215.7,95.9,24.2,301.8,136.2,27.4,301.8,136.2,27.4,33.8,67.1,28.7
cordoba/juarezcelman,,10.1,4.7,,10.1,4.7,,21.3,9.1,,21.3,9.1,,8.7,6.9
cordoba/lacalera,74.2,65.6,8.0,74.2,65.6,8.0,117.5,69.6,3.8,117.5,69.6,3.8,13.9,27.2,1.9
cordoba/malvinas_arg,,54.8,21.0,,54.8,21.0,16.7,169.1,22.3,16.7,169.1,22.3,0.8,88.2,43.3
cordoba/mendiolaza,,0.0,9.1,,0.0,9.1,,38.0,46.9,,38.0,46.9,,21.7,54.1
cordoba/rio_ceballos,,90.3,45.6,,90.3,45.6,0.4,233.9,49.7,0.4,233.9,49.7,1.8,113.1,33.2
cordoba/rio_cuarto/lashigueras,,66.0,5.3,,66.0,5.3,4.5,87.9,8.3,4.5,87.9,8.3,5.4,21.9,2.1
