Carpeta Municipio,Urban_built-up_urban_area_2000,Suburban_built-up_urban_area_2000,Rural_built-up_urban_area_2000,Urban_built-up_urban_footprint_2000,Suburban_built-up_urban_footprint_2000,Rural_built-up_urban_footprint_2000,Urban_built-up_urban_area_2010,Suburban_built-up_urban_area_2010,Rural_built-up_urban_area_2010,Urban_built-up_urban_footprint_2010,Suburban_built-up_urban_footprint_2010,Rural_built-up_urban_footprint_2010,Infill_2000_2010,Extension_2000_2010,Leapfrog_2000_2010
buenos_aires/almirante_brown,4756.5,894.4,4.1,4756.5,894.4,4.1,7028.6,382.6,7.1,7028.6,382.6,7.1,948,772.8,53.1
buenos_aires/avellaneda,4082.6,103.2,,4082.6,103.2,,4483.5,93.2,4,4483.5,93.2,4,244.9,141.3,11
buenos_aires/bahia_blanca/bahia,3227.6,1324.4,153.6,3227.6,1324.4,153.6,4382.9,1710.1,93.4,4382.9,1710.1,93.4,551.4,1168.7,96.2
buenos_aires/bahia_blanca/bahia_all,3717.9,1750.2,231.8,3717.9,1750.2,231.8,5112.3,2269.8,186.3,5112.3,2269.8,186.3,660.1,1476.5,169.4
buenos_aires/bahia_blanca/gr,48.1,182.3,44.1,48.1,182.3,44.1,164.2,215.9,72.4,164.2,215.9,72.4,22.1,133.5,35.7
buenos_aires/bahia_blanca/grun,,51.7,0,,51.7,0,0.5,82.4,1.1,0.5,82.4,1.1,0.7,31.8,2.4
buenos_aires/bahia_blanca/inge,436,121.1,0,436,121.1,0,573.9,67,0,573.9,67,0,62.2,31.8,
buenos_aires/bahia_blanca/villab,,29.3,32.8,,29.3,32.8,0,126.5,16.5,0,126.5,16.5,0.3,55.7,33.4
buenos_aires/bahia_blanca/vspor,,47.8,0.6,,47.8,0.6,,72.8,0.3,,72.8,0.3,1.3,24.9,1.4
buenos_aires/berazategui,2833.3,843.2,56.9,2833.3,843.2,56.9,4776.4,1150.6,114.6,4776.4,1150.6,114.6,,,
buenos_aires/beriso,1521.5,223.9,65.7,1521.5,223.9,65.7,1890.3,268.9,93.5,1890.3,268.9,93.5,155.8,246.7,39.2
buenos_aires/canuelas,224.9,217.2,214.5,224.9,217.2,214.5,445.8,933.9,711.4,445.8,933.9,711.4,48.7,636.8,760.8
buenos_aires/ensenada,784.6,475.9,104.5,784.6,475.9,104.5,1079.6,616.2,86.7,1079.6,616.2,86.7,85.5,292.3,39.6
buenos_aires/escobar,949.1,1129.5,87.9,949.1,1129.5,87.9,3013.3,2045.7,243.2,3013.3,2045.7,243.2,340.7,1893.6,915
buenos_aires/esteban_echeverria,2434.2,693.7,65.9,2434.2,693.7,65.9,4274,741.6,89.7,4274,741.6,89.7,635.7,978.5,307.8
buenos_aires/ezeiza,650,827.8,115.7,650,827.8,115.7,2155.5,1218.9,240.4,2155.5,1218.9,240.4,251.6,1278.3,501.2
buenos_aires/florencio_varela,2444.1,753.1,19.5,2444.1,753.1,19.5,4277,1251.4,113,4277,1251.4,113,636.9,943.9,848.2
buenos_aires/general_rodriguez,281.9,198.1,208.6,281.9,198.1,208.6,596.1,1234.6,360.4,596.1,1234.6,360.4,58.5,885.2,570.4
buenos_aires/general_san_martin,4373.1,71.4,4.5,4373.1,71.4,4.5,4753,131.7,1.8,4753,131.7,1.8,258.1,146.1,35.7
