"id","name","province","dirname","boundsSW","boundsNE","displayName","zoning","t0_open","t1_open","t2_open","t0_edge","t1_edge","t2_edge","hasIndex","t0_urban_urban","t0_suburban_urban","t0_rural_urban","t0_urban_footprint","t0_suburban_footprint","t0_rural_footprint","t1_urban_urban","t1_suburban_urban","t1_rural_urban","t1_urban_footprint","t1_suburban_footprint","t1_rural_footprint","t2_urban_urban","t2_suburban_urban","t2_rural_urban","t2_urban_footprint","t2_suburban_footprint","t2_rural_footprint","t0_t1_leapfrog","t0_t1_extension","t0_t1_infill","t1_t2_leapfrog","t1_t2_extension","t1_t2_infill"
"1","rio_ceballos","cordoba","cordoba/rio_ceballos","-31.210855852603324, -64.3599715611382","-31.13581296459415, -64.28117954573896","Río Ceballos,Córdoba
","False","","","","","","","False","","90.3","45.6","","90.3","45.6","0.4","233.9","49.7","0.4","233.9","49.7","78.1","294","25.7","78.1","294","25.7","33.2","113.1","1.8","4.9","137.8","12.6"
"2","lacie","salta","salta/lacie","-24.839981890506724, -65.48289342985807","-24.794949387430634, -65.4211276205745","lacie,Salta
","False","0.449657161317","0.429912097813","0.714465160885","0.366384915475","0.371568171242","0.99236313712","True","148.6","94.0","7.2","148.6","94.0","7.2","221.5","120.9","6.7","221.5","120.9","6.7","370.9","248.1","0.3","370.9","248.1","0.3","3.9","82.6","12.8","56.5","189.1","32.4"
"3","rawson_rawson","chubut_-_rawson","chubut_-_rawson/rawson_rawson","-43.32713216599381, -65.12872897406321","-43.27646086091933, -65.06514598209323","Rawson,Chubut
","False","0.487464472582","0.377399332588","0.336959031728","0.458213256484","0.317151162791","0.238996340826","True","192.7","169.3","4.5","192.7","169.3","4.5","387.3","169.1","2.4","387.3","169.1","2.4","577.5","198.9","0.5","577.5","198.9","0.5","1.1","152.3","39.0","44.3","123.7","50"
"4","carmendepat","rio_negro_-_viedma","rio_negro_-_viedma/carmendepat","-40.81800513036711, -63.00723624279723","-40.757645758672936, -62.9245073099502","Carmen de Patagones,Río Negro
","False","","","","","","","False","311.7","127.6","21.6","311.7","127.6","21.6","416.9","130.4","20.9","416.9","130.4","20.9","548.5","116.7","27.6","548.5","116.7","27.6","6.3","51.7","49.5","11.9","68.7","44"
"5","santiago","stgo_del_estero","stgo_del_estero/santiago","-27.86911549853327, -64.36193251792075","-27.732104113783716, -64.18328997963741","Santiago del Estero,Santiago Del Estero
","True","0.415436127774","0.306003436131","0.134118799921","0.521660286117","0.33251025362","0.124892124123","True","1557.7","718.8","142.2","1557.7","718.8","142.2","3053.5","733.6","94.5","3053.5","733.6","94.5","4777.5","770.3","58.5","4777.5","770.3","58.5","46.9","1062.1","353.9","38.7","1151.2","534.9"
"6","salsipuedes","cordoba","cordoba/salsipuedes","-31.16034276425228, -64.32187463404263","-31.09999979318296, -64.26247090794314","Salsipuedes,Córdoba
","False","","","","","","","False","","28.1","21.3","","28.1","21.3","","72.1","39.5","","72.1","39.5","18.2","138.2","21.4","18.2","138.2","21.4","24.4","37.7","0.2","7.3","76.4","4.4"
"7","avellaneda","buenos_aires","buenos_aires/avellaneda","-34.73078030767746, -58.409544725611276","-34.63533791085913, -58.27889634888852","Avellaneda,Buenos Aires
","True","0.0973254410922","0.0865506141242","0.0620319925257","0.10154097968","0.0936469127178","0.0584271655289","True","3963.2","100.1","5.9","3963.2","100.1","5.9","4082.6","103.2","","4082.6","103.2","","4483.5","93.2","4","4483.5","93.2","4","6.3","40.2","70.2","11","141.3","244.9"
"8","villalf","tucuman","tucuman/villalf","-26.790147625667284, -65.25057134576545","-26.760335238923247, -65.2164606704682","Luz y Fuerza,Tucumán
","False","0.781503934991","0.652187050735","0.635192104975","0.834123222749","0.619704433498","0.985450061652","True","0.3","41.2","9.9","0.3","41.2","9.9","27.0","51.3","4.1","27.0","51.3","4.1","199.2","94.1","0.2","199.2","94.1","0.2","1.7","26.5","2.8","8","200.1","5.8"
"9","capital","jujuy","jujuy/capital","-24.261378754410625, -65.40698291765248","-24.14742388952936, -65.23718038026128","San Salvador de Jujuy,Jujuy
","True","0.467512812956","0.420763536366","0.328233399168","0.576428290545","0.49756476896","0.305167861184","True","848.2","505.9","91.8","848.2","505.9","91.8","1254.7","642.7","87.2","1254.7","642.7","87.2","2412.1","792.6","25.2","2412.1","792.6","25.2","48.5","363.3","126.9","89.9","857.3","298.1"
"10","accnorte","chubut_-_rawson","chubut_-_rawson/accnorte","-45.79593465251634, -67.50660242950889","-45.75761679916736, -67.46071703038865","Acc. Norte,Chubut
","False","0.909407490767","0.806987997928","0.804971933403","","0.871794871795","0.94750211685","True","","0.2","0.6","","0.2","0.6","0.0","3.2","0.0","0.0","3.2","0.0","0","79.1","16.8","0","79.1","16.8","0.9","1.5","","87.6","5","0.1"
"11","mendiolaza","cordoba","cordoba/mendiolaza","-31.279809674351483, -64.33102273625983","-31.239574172988018, -64.24068277791783","Mendiolaza,Córdoba
","False","","","","","","","False","","0.0","9.1","","0.0","9.1","","38.0","46.9","","38.0","46.9","","145.5","24.8","","145.5","24.8","54.1","21.7","","18.9","86.2","1.2"
"12","bsjose","tucuman","tucuman/bsjose","-26.816922741656153, -65.29696524400046","-26.807765910771064, -65.27470993817855","Barrio San José,Tucumán
","False","0.67253482284","0.436562238506","0.249075762167","0.893827160494","0.657099697885","0.930379746835","True","0.0","32.9","","0.0","32.9","","53.8","0.0","","53.8","0.0","","69.4","","","69.4","","","","18.0","2.8","","","18.3"
"13","viedma","rio_negro_-_viedma","rio_negro_-_viedma/viedma","-40.8557346298899, -63.05221295321413","-40.79386251228647, -62.95453279638988","Viedma,Río Negro
","True","","","","","","","False","504.3","287.0","36.7","504.3","287.0","36.7","872.4","243.8","25.3","872.4","243.8","25.3","1089.7","226","24.7","1089.7","226","24.7","5.6","160.3","147.5","3.7","120.5","74.7"
"14","rosario","santa_fe","santa_fe/rosario/soldini","-33.04144796439275, -60.77121073916972","-33.00621114183686, -60.69889507209962","Soldini, Rosario,Santa Fe
","False","0.819010779567","0.722136387899","0.600834171367","0.816443594646","0.519553072626","0.487404162103","True","","33.8","8.7","","33.8","8.7","","70.7","1.9","","70.7","1.9","42.6","100.2","5.6","42.6","100.2","5.6","1.1","25.6","3.5","21","52.2","4.1"
"15","rio_cuarto","cordoba","cordoba/rio_cuarto/riocuarto","-33.172485744928686, -64.4112327300231","-33.07067166167165, -64.27008415533687","Río Cuarto,Río Cuarto,Córdoba
","False","0.434723754787","0.383099705219","0.310252246406","0.50143291742","0.435925371102","0.310663600678","True","1076.0","652.1","114.2","1076.0","652.1","114.2","1558.9","750.4","76.4","1558.9","750.4","76.4","2602.4","829.4","65.1","2602.4","829.4","65.1","49.1","312.8","181.5","87.5","827.4","323.9"
"16","rosario","santa_fe","santa_fe/rosario/granbaigorria","-32.87386038626364, -60.755619340173105","-32.83382367812942, -60.688133581077246","Granadero Baigorria, Rosario,Santa Fe
","True","0.54427234277","0.39818836168","0.311663102512","0.552317621748","0.37655794219","0.252182639237","True","183.4","218.7","13.2","183.4","218.7","13.2","455.3","143.9","13.3","455.3","143.9","13.3","669.2","129.6","10.6","669.2","129.6","10.6","0.2","142.5","54.6","22.1","96.3","89.4"
"17","ensenada","buenos_aires","buenos_aires/ensenada","-34.90028742174583, -58.08730043107533","-34.780645260494886, -57.882644560558404","Ensenada,Buenos Aires
","True","0.481382143127","0.442172614141","0.418266251302","0.415735059259","0.318517196239","0.285942128047","True","523.8","391.0","51.5","523.8","391.0","51.5","784.6","475.9","104.5","784.6","475.9","104.5","1079.6","616.2","86.7","1079.6","616.2","86.7","99.7","215.8","83.2","39.6","292.3","85.5"
